model,audio_path,surah,ayah,gold_text,pred_text,gold_compact,pred_compact,cer,char_accuracy,edit_distance,exact,accepted_segment,duration_sec,transcription_time_sec
openai/whisper-medium,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_003.wav,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذين يؤمنون بالغيب يقيمون الصلاه ومما رزقناهم ينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,الذينيؤمنونبالغيبيقيمونالصلاهوممارزقناهمينفقون,0.02127659574468085,0.9787234042553191,1,False,True,9.56,1.2145654000050854
openai/whisper-medium,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_004.wav,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذين يؤمنون بما انزل اليك وما انذل من قبلك بلاخره هم يوقرون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,والذينيؤمنونبماانزلاليكوماانذلمنقبلكبلاخرههميوقرون,0.07692307692307693,0.9230769230769231,4,False,False,14.248,2.7473307000036584
openai/whisper-medium,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_005.wav,2,5,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئك علي هدا من ربهم واولئك هم المفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,اولئكعليهدامنربهمواولئكهمالمفلحون,0.030303030303030304,0.9696969696969697,1,False,True,9.383,1.0245662999950582
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_001.wav,2,1,الم,الفلاميم,الم,الم,0.0,1.0,0,True,True,4.083,0.629236500011757
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_002.wav,2,2,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلك الكتاب الاريب فيه هدي للمتقين,ذلكالكتابلاريبفيههديللمتقين,ذلكالكتابالاريبفيههديللمتقين,0.037037037037037035,0.962962962962963,1,False,True,5.138,0.7147450000047684
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_003.wav,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,0.0,1.0,0,True,True,7.411,1.092992099991534
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_004.wav,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذين يؤمنون بما انزل اليك وما ازل من قبلك وبالاخره هم يوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,والذينيؤمنونبماانزلاليكوماازلمنقبلكوبالاخرههميوقنون,0.019230769230769232,0.9807692307692307,1,False,True,11.972,1.2018114999955287
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_2f7da1249d4b4cfebcb1b36d386ba1cd\free_detect\user_2f7da1249d4b4cfebcb1b36d386ba1cd_free_segment_005.wav,2,5,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,0.0,1.0,0,True,True,9.076,0.8236487000103807
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_001.wav,2,1,الم,الم,الم,الم,0.0,1.0,0,True,True,4.055,0.2856069999979809
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_002.wav,2,2,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلك الكتاب العريب فيه هدي للمتقين,ذلكالكتابلاريبفيههديللمتقين,ذلكالكتابالعريبفيههديللمتقين,0.07407407407407407,0.9259259259259259,2,False,False,6.416,0.6845685000007506
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_003.wav,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذين يؤمنون بالغيب ويوقيمون الصلاه ومما رزقناهم ينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,الذينيؤمنونبالغيبويوقيمونالصلاهوممارزقناهمينفقون,0.02127659574468085,0.9787234042553191,1,False,True,9.517,1.1210237999912351
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_004.wav,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,0.0,1.0,0,True,True,12.54,1.2070349999994505
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_797063addc5f4de589a44aba3b26fa94\natural\user_797063addc5f4de589a44aba3b26fa94_natural_segment_005.wav,2,5,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,0.0,1.0,0,True,True,8.844,0.8216853999911109
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_001.wav,2,1,الم,الفلام,الم,الم,0.0,1.0,0,True,True,4.934,0.33857269999862183
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_002.wav,2,2,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلك الكتاب لا ريب فيه هدي للمتقين,ذلكالكتابلاريبفيههديللمتقين,ذلكالكتابلاريبفيههديللمتقين,0.0,1.0,0,True,True,7.315,0.713493399991421
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_003.wav,2,3,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون,الذين يؤمنون بالغيب يقيمون الصلاه ومما رزقناهم ينفقون,الذينيؤمنونبالغيبويقيمونالصلاهوممارزقناهمينفقون,الذينيؤمنونبالغيبيقيمونالصلاهوممارزقناهمينفقون,0.02127659574468085,0.9787234042553191,1,False,True,9.56,1.0989552000100957
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_004.wav,2,4,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,والذينيؤمنونبماانزلاليكوماانزلمنقبلكوبالاخرههميوقنون,0.0,1.0,0,True,True,14.248,1.1909805000032065
checkpoints/content_asr_whisper_medium_quran_v2_weighted,data\uploads\segments\user_d0f6199fa6a24c17b44faf9a1015746c\natural\user_d0f6199fa6a24c17b44faf9a1015746c_natural_segment_005.wav,2,5,اولئك علي هدي من ربهم واولئك هم المفلحون,اولئك علي هدي من ربهم واولئك اهم المفلحون,اولئكعليهديمنربهمواولئكهمالمفلحون,اولئكعليهديمنربهمواولئكاهمالمفلحون,0.030303030303030304,0.9696969696969697,1,False,True,9.383,0.8248781000002054
